0,0,Tensor:(63.132318716360885, training=True),[47.86234966665927, -0.6646052424673239, 48.668048570605414, -6.938893903907228e-18]
0,1,Tensor:(39.31022576146801, training=True),[9.073435189663407, -1.054939563037471, 48.668048570605414, -3.469446951953614e-18]
0,2,Tensor:(31.439369247223954, training=True),[-30.042931443220596, -1.4211954200865946, 48.66804857060541, -2.7755575615628914e-17]
0,3,Tensor:(21.49647795771065, training=True),[-42.10205057171912, -1.5597477724358653, 48.668048570605414, -1.3877787807814457e-17]
0,4,Tensor:(20.995989779874336, training=True),[-67.64399316527124, -1.8090943626602032, 48.66804857060542, -1.3877787807814457e-17]
0,5,Tensor:(17.14164822715545, training=True),[-84.04445844434517, -1.9701730835034934, 48.668048570605414, -6.938893903907228e-18]
0,6,Tensor:(15.726405367940865, training=True),[-96.65705209332586, -2.100008876479757, 48.668048570605414, 0.0]
0,7,Tensor:(17.193912948784657, training=True),[-108.69677660299632, -2.2086532809378667, 48.66804857060542, 6.938893903907228e-18]
0,8,Tensor:(15.733233801088632, training=True),[-123.8377724843906, -2.3489099864209466, 48.66804857060542, 6.938893903907228e-18]
0,9,Tensor:(11.660907824967003, training=True),[-134.02054022837734, -2.465820810368456, 48.66804857060542, 2.0816681711721685e-17]
0,10,Tensor:(11.501776586213182, training=True),[-142.14903611549397, -2.5601777974026305, 48.66804857060542, 2.0816681711721685e-17]
0,11,Tensor:(10.319884175392842, training=True),[-149.59599229346276, -2.6459802180077676, 48.668048570605414, 2.7755575615628914e-17]
0,12,Tensor:(11.766979743940873, training=True),[-160.16953323711988, -2.7472356043548904, 48.668048570605414, 6.938893903907228e-18]
0,13,Tensor:(13.508681044170334, training=True),[-174.35959716193562, -2.8737022106487156, 48.66804857060542, 6.938893903907228e-18]
0,14,Tensor:(12.016931397567227, training=True),[-185.70261363440375, -2.9900265790446436, 48.668048570605414, 6.938893903907228e-18]
0,15,Tensor:(11.531094807836684, training=True),[-198.09555589552252, -3.118658375834811, 48.66804857060542, 6.938893903907228e-18]
0,16,Tensor:(9.557353216240806, training=True),[-211.53742659280863, -3.2483386684100046, 48.66804857060541, 6.938893903907228e-18]
0,17,Tensor:(8.319465707092482, training=True),[-218.2718473669735, -3.319521449908476, 48.66804857060541, 6.938893903907228e-18]
0,18,Tensor:(8.742368502026792, training=True),[-223.45716864144515, -3.373065573825552, 48.668048570605414, 1.3877787807814457e-17]
0,19,Tensor:(7.483437864872831, training=True),[-232.94175727028704, -3.4564669474433085, 48.66804857060541, 2.0816681711721685e-17]
0,20,Tensor:(7.920485002613865, training=True),[-240.94938355888047, -3.5364659277138775, 48.66804857060541, 2.0816681711721685e-17]
0,21,Tensor:(7.078135422454217, training=True),[-244.16248321348968, -3.5674831170605232, 48.668048570605414, 2.0816681711721685e-17]
0,22,Tensor:(8.184540472387084, training=True),[-254.02652693147212, -3.669464195603931, 48.66804857060541, 1.3877787807814457e-17]
0,23,Tensor:(6.712340450921083, training=True),[-259.5149709083236, -3.724490153031271, 48.668048570605414, 6.938893903907228e-18]
0,24,Tensor:(7.748493788788247, training=True),[-262.859831435033, -3.756014019186293, 48.66804857060542, 1.3877787807814457e-17]
0,25,Tensor:(7.424328684465696, training=True),[-270.130631275532, -3.831382407310116, 48.668048570605414, 2.0816681711721685e-17]
0,26,Tensor:(6.433594933578986, training=True),[-276.82831947076915, -3.8916855527221554, 48.668048570605414, 3.469446951953614e-17]
0,27,Tensor:(6.147898330467017, training=True),[-285.51153844784386, -3.969323154201389, 48.66804857060541, 2.7755575615628914e-17]
0,28,Tensor:(5.087797895843365, training=True),[-288.7460780719767, -4.002463158987233, 48.668048570605414, 4.85722573273506e-17]
0,29,Tensor:(4.630557460301798, training=True),[-291.7460572729198, -4.0331417644763095, 48.668048570605414, 6.938893903907228e-17]
0,30,Tensor:(6.21914059021246, training=True),[-296.9409852423141, -4.084276939541967, 48.668048570605414, 6.938893903907228e-17]
0,31,Tensor:(4.491322130241494, training=True),[-301.8137476088261, -4.1400900808118255, 48.66804857060542, 8.326672684688674e-17]
0,32,Tensor:(6.358001925178148, training=True),[-306.2290528849625, -4.1944914533669575, 48.668048570605414, 9.020562075079397e-17]
0,33,Tensor:(4.954999629228858, training=True),[-312.6311486877962, -4.239941550890931, 48.668048570605414, 1.0408340855860843e-16]
0,34,Tensor:(4.945961230047755, training=True),[-317.1329935115834, -4.283469011614661, 48.668048570605414, 1.0408340855860843e-16]
0,35,Tensor:(5.743288943681234, training=True),[-322.6390242138048, -4.337760400211568, 48.668048570605414, 9.020562075079397e-17]
0,36,Tensor:(5.655606967468451, training=True),[-327.92348678189984, -4.388044506139029, 48.668048570605414, 1.1102230246251565e-16]
0,37,Tensor:(5.742240506171059, training=True),[-335.5316962786269, -4.452575414059895, 48.668048570605414, 8.326672684688674e-17]
0,38,Tensor:(4.4312160013252315, training=True),[-337.7274026749318, -4.477187512464479, 48.66804857060542, 7.632783294297951e-17]
0,39,Tensor:(4.263955151023583, training=True),[-342.4779101588384, -4.525582934449602, 48.66804857060542, 9.020562075079397e-17]
0,40,Tensor:(4.01627797842465, training=True),[-346.3266708171514, -4.56401688620133, 48.66804857060541, 6.938893903907228e-17]
0,41,Tensor:(4.381809069464783, training=True),[-351.0167831465603, -4.609504792472045, 48.668048570605414, 6.938893903907228e-17]
0,42,Tensor:(5.195071986154926, training=True),[-359.07838606245275, -4.680340993636385, 48.668048570605414, 4.85722573273506e-17]
0,43,Tensor:(4.239077553487637, training=True),[-362.512868819192, -4.719511972148281, 48.668048570605414, 6.938893903907228e-17]
0,44,Tensor:(4.236225181717412, training=True),[-365.7585551717859, -4.748235746259176, 48.66804857060542, 8.326672684688674e-17]
0,45,Tensor:(3.7897569650009375, training=True),[-367.8554895039249, -4.775915827984113, 48.66804857060542, 1.249000902703301e-16]
0,46,Tensor:(3.498955410831258, training=True),[-371.134887592271, -4.805493979424221, 48.66804857060542, 7.632783294297951e-17]
0,47,Tensor:(4.302785969229235, training=True),[-373.08005267596116, -4.821319589595257, 48.668048570605414, 9.71445146547012e-17]
0,48,Tensor:(5.485450217720694, training=True),[-379.6294084076254, -4.883574193636512, 48.66804857060542, 1.3183898417423734e-16]
0,49,Tensor:(4.135186910333998, training=True),[-383.70325950059316, -4.929828697669128, 48.668048570605414, 1.1102230246251565e-16]
0,50,Tensor:(3.516204293153818, training=True),[-388.36331235149686, -4.978863943202008, 48.66804857060542, 1.1796119636642288e-16]
0,51,Tensor:(3.5500757676322916, training=True),[-390.2150296066629, -4.99959678397199, 48.66804857060541, 1.1796119636642288e-16]
0,52,Tensor:(3.147569744576544, training=True),[-391.0027373303137, -5.013670670100334, 48.66804857060542, 9.71445146547012e-17]
0,53,Tensor:(4.119870341991639, training=True),[-393.32139186820683, -5.040856784143115, 48.668048570605414, 9.020562075079397e-17]
0,54,Tensor:(2.872663981504954, training=True),[-396.8939751194688, -5.067589492259684, 48.66804857060542, 8.326672684688674e-17]
0,55,Tensor:(2.8538933239462647, training=True),[-399.9222859248086, -5.092740515428362, 48.668048570605414, 1.0408340855860843e-16]
0,56,Tensor:(4.106984697471749, training=True),[-402.78228711416034, -5.123316006936294, 48.66804857060542, 1.0408340855860843e-16]
0,57,Tensor:(3.595474614783788, training=True),[-406.577901175161, -5.164639761913885, 48.668048570605414, 9.71445146547012e-17]
0,58,Tensor:(3.7895072474387685, training=True),[-409.5820858069956, -5.196867486422913, 48.66804857060542, 6.245004513516506e-17]
0,59,Tensor:(2.6100228808036117, training=True),[-412.41945347486853, -5.227270696849495, 48.66804857060542, 7.632783294297951e-17]
0,60,Tensor:(2.2586029091931876, training=True),[-414.26420235545135, -5.25158266430252, 48.66804857060542, 6.938893903907228e-17]
0,61,Tensor:(2.745525770012345, training=True),[-417.41676901888604, -5.280581848885054, 48.668048570605414, 9.71445146547012e-17]
0,62,Tensor:(1.8564976867059255, training=True),[-418.26807534998505, -5.295799277488156, 48.668048570605414, 9.71445146547012e-17]
0,63,Tensor:(2.919693112138069, training=True),[-419.4095661184246, -5.311711373364599, 48.66804857060542, 8.326672684688674e-17]
